Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1911569826,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,79.57,,4383,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/BNOTRIMKJ,
S1911569823,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,44.27,,90687,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BOCRDZYIF,
S1911569818,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,70.77,,16247,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BTLSASNMR,
S1911569816,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,75.27,,8686,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BTZPNJZKN,
S1911569814,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,73.95,,10768,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BUNNABLIJ,
S1911569811,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,80.47,,3906,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/BVBKMSXGF,
S1911569810,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,58.35,,55571,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BRICCARVH,
S1911569807,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,72.42,,13161,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BRVZOSDTD,
S1911569804,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,77.62,,6539,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BSJXBJPQZ,
S1911569802,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,78.45,,5833,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BSXUOBBOV,
S1911569796,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,64.25,,36103,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BXSXYCEVL,
S1911569794,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,84.97,,1460,95808,Tournament,0.05,0.20,https://www.fanduel.com/entry/BYGVKTQTH,
S1911569793,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,68.75,,22347,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BYUSXLCRD,
S1911569790,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,64.87,,34260,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BZIQKCOOZ,
S1911569744,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,59.67,,51126,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AEHDMPBAR,
S1911569742,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,69.37,,19912,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AANVBWVPT,
S1911569738,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,55.17,,67389,95808,Tournament,0.05,0,https://www.fanduel.com/entry/ABBSOOHNP,
S1911569736,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,48.65,,85825,95808,Tournament,0.05,0,https://www.fanduel.com/entry/ABPQBFTLL,
S1911569733,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,67.92,,24327,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/DZTEDTTNH,
S1911569731,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,82.12,,2732,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/EAHBQLFLD,
S1911569726,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,53.37,,74470,95808,Tournament,0.05,0,https://www.fanduel.com/entry/EAUZDCRIZ,
S1911569723,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,68.97,,21737,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/EGDZZVGNL,
S1911569718,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,66.12,,30545,95808,Tournament,0.05,0,https://www.fanduel.com/entry/EGRXMMSLH,
S1911569714,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,75.62,,8438,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/EDMMOLYYF,
S1911569711,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,63.12,,39811,95808,Tournament,0.05,0,https://www.fanduel.com/entry/EEAKBDKWB,
S1911569708,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,49.02,,85245,95808,Tournament,0.05,0,https://www.fanduel.com/entry/EJXIKNLYJ,
S1911569707,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,70.70,,16316,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/EKLFXEXWF,
S1911569702,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,58.72,,54422,95808,Tournament,0.05,0,https://www.fanduel.com/entry/ELNAWNVRX,
S1911569701,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,72.60,,12952,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/EIHPYNCEV,
S1911569695,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,62.20,,41851,95808,Tournament,0.05,0,https://www.fanduel.com/entry/EIVNLEOCR,
S1911569691,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,73.60,,11549,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/EJJKXWAAN,
S1911569689,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,59.42,,51767,95808,Tournament,0.05,0,https://www.fanduel.com/entry/EOEOHXDHD,
S1911569687,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,61.98,,42520,95808,Tournament,0.05,0,https://www.fanduel.com/entry/EOSLUOPEZ,
S1911569684,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,80.38,,3928,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/EPGJHGBCV,
S1911569634,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,69.12,,21300,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/DONEXJRJH,
