,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo
52,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-73273:David Montgomery,41200-14257:Randall Cobb,41200-79974:Tarik Cohen,60000,2921,24.387500759999998,22.72666677,10.18333308,9.227272727,7.549999872999999,24.387500759999998,22.72666677,10.18333308,9.227272727,7.549999872999999,24.387500759999998,22.72666677,10.18333308,9.227272727,7.549999872999999,74.07477321,74.07477321,74.07477321
53,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-79974:Tarik Cohen,41200-63759:Tony Pollard,59000,2691,24.387500759999998,22.72666677,14.25833384,7.549999872999999,5.036363775,24.387500759999998,22.72666677,14.25833384,7.549999872999999,5.036363775,24.387500759999998,22.72666677,14.25833384,7.549999872999999,5.036363775,73.958865018,73.958865018,73.958865018
54,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-79974:Tarik Cohen,41200-27527:Blake Jarwin,58500,2696,24.387500759999998,22.72666677,14.25833384,7.549999872999999,5.00909077,24.387500759999998,22.72666677,14.25833384,7.549999872999999,5.00909077,24.387500759999998,22.72666677,14.25833384,7.549999872999999,5.00909077,73.931592013,73.931592013,73.931592013
55,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-28643:Allen Robinson II,41200-14257:Randall Cobb,41200-27527:Blake Jarwin,60000,2426,24.387500759999998,22.72666677,12.54166667,9.227272727,5.00909077,24.387500759999998,22.72666677,12.54166667,9.227272727,5.00909077,24.387500759999998,22.72666677,12.54166667,9.227272727,5.00909077,73.892197697,73.892197697,73.892197697
56,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-79974:Tarik Cohen,41200-6641:Jason Witten,58000,3231,24.387500759999998,22.72666677,12.20999985,7.549999872999999,6.983333588,24.387500759999998,22.72666677,12.20999985,7.549999872999999,6.983333588,24.387500759999998,22.72666677,12.20999985,7.549999872999999,6.983333588,73.857500841,73.857500841,73.857500841
57,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-27292:Brett Maher,41200-69307:Eddy Pineiro,59000,3191,24.387500759999998,22.72666677,12.20999985,8.25,6.0,24.387500759999998,22.72666677,12.20999985,8.25,6.0,24.387500759999998,22.72666677,12.20999985,8.25,6.0,73.57416738,73.57416738,73.57416738
58,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-73273:David Montgomery,41200-30733:Cordarrelle Patterson,60000,2616,24.387500759999998,22.72666677,14.25833384,10.18333308,1.9727273419999998,24.387500759999998,22.72666677,14.25833384,10.18333308,1.9727273419999998,24.387500759999998,22.72666677,14.25833384,10.18333308,1.9727273419999998,73.528561792,73.528561792,73.528561792
59,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-79974:Tarik Cohen,41200-104421:Jesper Horsted,58000,2701,24.387500759999998,22.72666677,14.25833384,7.549999872999999,4.599999905,24.387500759999998,22.72666677,14.25833384,7.549999872999999,4.599999905,24.387500759999998,22.72666677,14.25833384,7.549999872999999,4.599999905,73.522501148,73.522501148,73.522501148
60,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-73273:David Montgomery,41200-14257:Randall Cobb,41200-6641:Jason Witten,59000,2931,24.387500759999998,22.72666677,10.18333308,9.227272727,6.983333588,24.387500759999998,22.72666677,10.18333308,9.227272727,6.983333588,24.387500759999998,22.72666677,10.18333308,9.227272727,6.983333588,73.50810692499999,73.50810692499999,73.50810692499999
61,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-28643:Allen Robinson II,41200-14257:Randall Cobb,41200-104421:Jesper Horsted,59500,2431,24.387500759999998,22.72666677,12.54166667,9.227272727,4.599999905,24.387500759999998,22.72666677,12.54166667,9.227272727,4.599999905,24.387500759999998,22.72666677,12.54166667,9.227272727,4.599999905,73.483106832,73.483106832,73.483106832
62,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-104421:Jesper Horsted,56500,3216,24.387500759999998,22.72666677,12.20999985,9.227272727,4.599999905,24.387500759999998,22.72666677,12.20999985,9.227272727,4.599999905,24.387500759999998,22.72666677,12.20999985,9.227272727,4.599999905,73.15144001200001,73.15144001200001,73.15144001200001
63,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-73273:David Montgomery,41200-27292:Brett Maher,41200-79974:Tarik Cohen,60000,2876,24.387500759999998,22.72666677,10.18333308,8.25,7.549999872999999,24.387500759999998,22.72666677,10.18333308,8.25,7.549999872999999,24.387500759999998,22.72666677,10.18333308,8.25,7.549999872999999,73.097500483,73.097500483,73.097500483
64,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-6641:Jason Witten,41200-104421:Jesper Horsted,57000,2756,24.387500759999998,22.72666677,14.25833384,6.983333588,4.599999905,24.387500759999998,22.72666677,14.25833384,6.983333588,4.599999905,24.387500759999998,22.72666677,14.25833384,6.983333588,4.599999905,72.955834863,72.955834863,72.955834863
65,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-28643:Allen Robinson II,41200-27292:Brett Maher,41200-27527:Blake Jarwin,60000,2401,24.387500759999998,22.72666677,12.54166667,8.25,5.00909077,24.387500759999998,22.72666677,12.54166667,8.25,5.00909077,24.387500759999998,22.72666677,12.54166667,8.25,5.00909077,72.91492497,72.91492497,72.91492497
